            0.84            0.97            1.11            1.22            1.57            2.51            3.08            2.58            1.81            1.16            0.83            0.64
            2.11            2.37            2.74            3.18            3.53            3.32            2.76            2.36            2.07            2.06            2.00            1.97
            0.55            0.60            0.68            0.95            1.16            1.75            2.67            2.19            1.33            0.72            0.50            0.41
            0.75            0.75            0.84            1.30            2.71            3.61            3.50            3.03            2.38            1.67            1.00            0.80
            0.81            0.95            1.05            1.12            1.94            3.51            3.81            3.03            2.08            1.26            0.84            0.70
            0.82            0.84            0.94            1.14            1.29            1.21            1.09            0.97            0.89            0.87            0.84            0.81
            0.43            0.51            0.57            0.65            0.71            0.72            0.71            0.62            0.51            0.43            0.39            0.38
            1.01            1.05            1.21            1.32            1.68            2.28            2.43            2.02            1.49            1.07            0.86            0.93
            0.95            1.00            1.10            1.32            1.61            1.71            1.75            1.64            1.38            1.08            0.94            0.91
            0.82            0.87            0.94            1.32            2.01            2.26            1.97            1.65            1.41            1.19            0.97            0.85
            0.75            0.78            0.86            0.99            1.13            1.60            2.12            2.05            1.54            1.05            0.72            0.68
            0.61            0.66            0.67            0.98            1.81            2.45            2.19            1.63            1.24            0.92            0.70            0.62
            0.57            0.61            0.66            0.92            1.53            1.89            1.78            1.50            1.26            0.99            0.72            0.59
            0.71            0.74            0.83            1.18            1.93            2.29            2.03            1.67            1.37            1.12            0.86            0.73
            0.12            0.14            0.19            0.21            0.10            0.11            0.13            0.14            0.14            0.14            0.15            0.18
            0.06            0.07            0.06            0.06            0.08            0.10            0.12            0.12            0.10            0.08            0.07            0.05
            0.59            0.61            0.69            0.79            1.04            1.41            1.50            1.24            0.95            0.72            0.55            0.55
            0.60            0.58            0.81            0.97            0.76            1.09            1.91            1.85            1.22            0.72            0.42            0.39
            0.71            0.68            0.75            0.80            0.84            1.14            1.74            1.70            1.27            0.84            0.58            0.68
         -999.00            0.17            0.08            0.02            0.15            0.09            0.11            0.10            0.10            0.12            0.32         -999.00
            0.25            0.32            0.29            0.31            0.51            0.94            1.09            0.84            0.57            0.38            0.27            0.22
