            6.65            6.58            6.65            6.62            6.75            6.72            6.66            6.63            6.34            6.26            6.49            6.68
            5.15            5.46            5.65            5.88            6.35            6.53            6.39            5.90            5.34            5.13            5.06            4.65
            2.85            3.89            5.77            6.09            6.22            4.84            5.53            4.45            3.06            2.86            3.11            3.75
            6.48            6.48            6.25            6.12            6.87            6.90            6.76            6.65            6.32            5.95            6.18            6.34
            6.58            6.65            6.59            6.45            6.72            6.86            6.76            6.73            6.61            5.66            6.68            6.67
            4.23            5.29            5.38            5.92            6.38            6.59            6.42            6.09            5.39            4.85            4.03            4.38
            6.00            6.40            6.49            6.64            6.70            6.91            6.79            6.36            6.32            5.60            6.32            6.60
            5.90            6.16            6.14            5.87            6.49            6.61            6.58            6.26            5.87            5.04            6.02            6.55
            4.04            5.42            5.04            5.79            6.20            6.53            6.49            5.99            5.43            4.59            3.81            4.05
            6.32            6.13            6.47            6.67            6.64            6.74            6.79            6.69            6.54            6.21            6.31            6.18
            5.71            6.18            6.31            6.41            6.33            6.58            6.60            6.54            6.31            6.09            5.83            6.62
            6.67            6.68            6.48            6.69            6.77            6.74            6.86            6.74            6.23            5.60            6.46            6.63
            4.65            5.75            6.02            5.47            6.41            6.63            6.53            6.10            5.38            4.44            4.03            5.19
            5.41            5.75            6.22            6.04            6.52            6.65            6.57            6.74            6.49            5.34            6.03            6.35
            3.04            3.81            3.99            2.13            2.31            5.60            6.04            5.56            3.48            3.47            5.87            5.45
            5.26            5.67            5.84            6.14            6.54            6.71            6.48            6.19            5.69            5.17            6.45            6.56
            4.81            6.55            6.38            6.02            6.60            6.65            6.55            6.32            6.15            5.37            6.50            5.93
            5.80            6.24            6.12            6.10            5.61            6.83            6.77            6.35            6.07            5.64            6.48            6.65
            6.24            6.12            6.28            5.81            6.21            6.66            6.55            6.39            5.92            6.05            6.57            6.67
         -999.00            2.64            0.20            0.07            0.51            0.86            0.87            0.83            0.73            1.40            2.96         -999.00
            5.50            5.88            5.99            6.05            6.27            6.54            6.58            6.07            5.89            4.51            5.38            6.46
